ambiguous,unambiguous
部分相信的理论。,部分广泛应用的策略。
全部腐烂的蔬菜。,全部售罄的商品。
部分拆解的汽车。,全部更换的零件
全部损坏的电脑。,全部修理的电脑
部分湿润的土壤。,全部金黄的麦田。
全部锈蚀的铁门。,全部残破不堪的城墙。
部分透光的窗帘。,全部锁好的门
全部投入的资金。,全部掌握的知识。
部分拆解的机器人。,部分先进的机器人技术。
部分接受的意见。,全部采纳的建议
全部理解的概念。,全部掌握的知识。
部分覆盖的草地。,全部金黄的麦田。
部分关闭的窗户。,全部锁好的门
全部吃完的食物。,全部吃光的晚餐。
部分退色的旗帜。,部分落后的工艺。
部分覆盖的泥土。,全部覆盖的油漆。
全部信任的伙伴。,全部签署的合同
部分退化的环境。,部分落后的工艺。
全部参与的会议。,全部组织的活动
全部开放的公园。,部分开放的花朵。
部分吸收的知识。,全部掌握的知识。
全部覆盖的书籍。,部分散落的书籍。
部分相信的谣言。,部分广泛应用的策略。
全部完成的作业。,全部组织的活动
全部打开的门。,全部锁好的门
部分枯萎的花朵。,部分盛开的花朵。
部分烤焦的面包。,部分美味的佳肴。
部分溶解的糖块。,部分喝完的啤酒。
部分损坏的房屋。,全部破旧的房屋。
全部损坏的电子产品。,全部完好的机器。
全部脱落的漆皮。,全部覆盖的油漆。
部分塌陷的屋顶。,全部残破不堪的城墙。
全部生锈的铁器。,部分破碎的瓷器。
部分腐烂的蔬菜。,部分美味的佳肴。
全部浸湿的书籍。,部分散落的书籍。
部分裂开的墙壁。,全部残破不堪的城墙。
全部磨损的鞋子。,全部破旧的房屋。
部分溶解的盐。,全部喝光的水。
全部理解的难题。,全部掌握的知识。
全部封闭的空间。,全部锁好的门
全部封闭的窗户。,全部锁好的门
部分融化的冰块。,全部凝固的血液。
部分松动的螺丝。,全部更换的零件
全部浸湿的衣服。,全部亮丽的服装。
部分裂开的石头。,部分破碎的瓷器。
全部关闭的门。,全部锁好的门
全部打开的窗户。,全部锁好的门
全部密封的包裹。,全部储存的资料
部分融化的冰淇淋。,部分喝完的啤酒。
全部打湿的衣物。,全部打扫的房间
全部用过的书本。,部分散落的书籍。
部分燃烧的蜡烛。,全部熄灭的蜡烛。
部分打开的窗户。,全部锁好的门
全部清空的房间。,全部打扫的房间
全部煮熟的米饭。,全部吃光的晚餐。
部分浸泡的水果。,全部优质的水果。
部分透明的窗户。,全部锁好的门
全部封闭的箱子。,全部锁好的门
全部折叠的衣物。,全部售罄的商品。
全部涂色的墙壁。,全部喷涂的墙面
部分完工的建筑。,部分壮观的建筑景观。
全部透明的玻璃。,部分破碎的瓷器。
全部售罄的门票。,全部售罄的商品。
部分冻结的账户。,全部激活的账户
部分遗失的文件。,全部完好无损的工具集合。
部分褪色的照片。,全部拍摄的照片
全部展开的画卷。,全部布置的展览
部分激活的系统。,全部激活的账户
全部回收的垃圾。,全部清理的垃圾
部分封闭的场所。,全部锁好的门
全部使用的能量。,全部用上的力气。
全部掌握的技能。,全部掌握的知识。
全部放弃的计划。,全部批准的计划
全部相信的谣言。,全部历史的遗迹。
部分填充的表格。,全部整理的资料
全部激活的账号。,全部激活的账户
全部锈蚀的铁链。,全部完好的机器。
部分关闭的大门。,全部锁好的门
全部开放的窗口。,全部布置的展览
全部废弃的建筑物。,全部破旧的房屋。
部分溶解的物质。,全部凝固的血液。
部分退化的细胞。,部分落后的工艺。
部分陈旧的家具。,全部破旧的房屋。
部分隐藏的真相。,部分生动的讲述。
全部无暇的艺术品。,全部精致的工艺品。
全部翠绿的植物。,全部种植的树
部分富饶的土地。,全部金黄的麦田。
全部崭新的汽车。,全部全新的交通工具。
部分闪耀的宝石。,部分耀眼的奖牌。
全部复杂的程序。,全部测试的程序
全部崭新的建筑。,全部新建的房屋。
全部精致的饰品。,全部精致的工艺品。
部分冰冷的饭菜。,部分美味的佳肴。
全部脏污的衣物。,全部亮丽的服装。
部分老化的纸张。,部分精致的工艺品。
全部磨损的齿轮。,全部更换的零件
部分潮湿的木料。,全部精致的工艺品。
全部泛黄的照片。,全部拍摄的照片
全部被淹的村庄。,全部售罄的商品。
部分荒废的田野。,全部金黄的麦田。
全部崭新的教学楼。,全部新建的房屋。
部分脏污的衣服。,全部亮丽的服装。
部分破损的照片。,全部拍摄的照片
全部精致的珠宝。,全部精致的工艺品。
全部毁损的电脑。,全部修理的电脑
部分磨损的刀片。,部分破碎的瓷器。
全部废弃的工厂。,全部回收的废料
全部损坏的零件。,全部更换的零件
部分改良的品种。,部分广泛应用的策略。
部分老化的电线。,部分古老的城墙。
全部破败的古城墙。,全部残破不堪的城墙。
部分巧妙的装置。,全部精致的工艺品。
全部精美的包装。,全部精致的工艺品。
部分先进的工具。,部分先进的机器人技术。
全部崭新的技术。,全部全新的交通工具。
部分老旧的房屋。,全部破旧的房屋。
部分热闹的夜市。,部分琳琅满目的商品陈列区。
部分彩色的气球。,部分美丽的风景。
全部繁忙的街道。,部分空旷的大街。
全部崭新的设备。,部分现代化的设备。
部分消失的足迹。,全部历史的遗迹。
全部泛黄的纸张。,全部覆盖的油漆。
部分毁损的书籍。,部分散落的书籍。
全部破裂的窗户。,全部残破不堪的城墙。
部分整洁的教室。,全部布置的教室
全部崭新的家具。,全部装修的房间
全部优质的商品。,全部优质的资源。
部分模糊的图像。,全部录制的视频
部分脏乱的房间。,全部打扫的房间
全部破碎的玻璃。,部分破碎的瓷器。
部分老旧的家具摆设。,全部破旧的房屋。
全部精致的工艺品展示。,全部精致的工艺品。
部分磨损的齿轮装置。,全部更换的零件
全部泛黄的古籍书卷。,部分散落的书籍。
部分打磨的金属器具。,全部完好的机器。
部分损坏的玩具。,部分破碎的瓷器。
部分精致的首饰。,部分精致的工艺品。
全部干净的衣服。,全部亮丽的服装。
部分陈旧的书柜。,部分散落的书籍。
全部绿色的蔬菜。,全部优质的水果。
部分磨损的工具。,全部完好无损的工具集合。
全部泛黄的报纸。,全部覆盖的油漆。
部分香甜的水果。,全部优质的水果。
部分温暖的回忆。,部分生动的讲述。
全部破烂的衣服。,全部破旧的房屋。
部分暗淡的珠宝。,部分黯淡的天空。
全部陈旧的家具。,全部破旧的房屋。
部分枯萎的花草。,部分开放的花朵。
部分脏乱的衣服。,全部亮丽的服装。
全部破损的桌椅。,全部破旧的房屋。
全部亮丽的珠宝。,全部精致的工艺品。
全部精致的装饰。,全部精致的工艺品。
部分模糊的影像。,全部录制的视频
全部精美的菜肴。,部分美味的佳肴。
全部精准测量的设备。,全部校准的仪器
部分高效运转的系统。,部分现代化的设备。
全部正确操作的机器。,全部完好的机器。
部分独特设计的家具。,部分精致的工艺品。
全部严重破坏的设施。,全部修复的设施
全部有效执行的计划。,全部批准的计划
部分严重磨损的零件。,全部更换的零件
全部完好保存的工具。,全部完好的机器。
全部破碎的玻璃制品。,部分破碎的瓷器。
部分独特的工艺。,全部精致的工艺品。
全部模糊的视线。,部分黯淡的天空。
全部破碎的瓷器。,部分破碎的瓷器。
部分曲折的道路。,部分崎岖的山路。
全部完好的船只。,全部完好的机器。
部分鲜嫩的蔬菜。,部分美味的佳肴。
部分精美的建筑。,部分精致的工艺品。
全部精致的工艺。,全部精致的工艺品。
部分已经完成的计划。,全部批准的计划
全部未解的谜团。,全部历史的遗迹。
部分遗留的部分建筑。,全部历史的遗迹。
全部遗留的任务。,全部历史的遗迹。
部分模糊的数据。,全部制作的模型
部分废弃的工业设备。,全部回收的废料
部分散落的文件碎片。,全部扫描的文件
全部洗净的餐具。,全部洁净的餐厅。
部分磨损的金属零件。,全部更换的零件
全部抹平的水泥地面。,全部修复的设施
全部残破的房屋。,全部破旧的房屋。
部分泛黄的照片。,全部拍摄的照片
部分散乱的资料。,全部整理的资料
全部废弃的物品。,全部回收的废料
全部填满的表格。,全部扫描的文件
全部熄灭的灯火。,全部熄灭的蜡烛。
部分干涸的池塘。,全部清澈的水源。
部分变质的食品。,部分失效的药物。
部分脱落的书籍。,部分散落的书籍。
全部模糊的图像。,全部录制的视频
全部闪耀的宝石。,全部精致的工艺品。
部分复杂的策略。,部分广泛应用的策略。
全部斑驳的墙壁。,全部残破不堪的城墙。
部分深藏的宝藏。,部分广泛应用的策略。
全部独特的建筑。,部分壮观的建筑景观。
部分损坏的零件。,全部更换的零件
全部隐藏的真相。,全部精彩的演出。
全部破损的玻璃制品。,部分破碎的瓷器。
全部冰冻的食物。,全部喝光的水。
部分熄灭的蜡烛。,全部熄灭的蜡烛。
全部翻新的房屋。,全部新建的房屋。
部分磨损的机器。,全部完好的机器。
全部淋湿的衣物。,全部亮丽的服装。
全部冻结的冰层。,全部凝固的血液。
全部沉淀的泥沙。,全部清澈的水源。
部分飘散的云彩。,部分美丽的风景。
部分遗留的痕迹。,全部历史的遗迹。
部分损坏的器具。,全部完好无损的工具集合。
全部褪色的照片。,全部拍摄的照片
部分保留的古籍。,部分散落的书籍。
全部优秀的团队。,全部精彩的演出。
部分精致的妆容。,部分淡雅的风景。
全部现代化的装备。,部分现代化的设备。
部分整洁的书籍。,部分散落的书籍。
全部成熟的果实。,全部采摘的果实
全部光滑的表面。,全部覆盖的油漆。
全部破损的器具。,全部完好无损的工具集合。
全部清洗过的餐具。,全部洁净的餐厅。
部分散失的文献。,部分散落的书籍。
全部重组的结构。,全部组织的活动
全部褪色的画作。,全部精致的工艺品。
全部翻新的家具。,全部新建的房屋。
全部老化的电线。,全部完好的机器。
部分磨损的机械设备。,全部完好的机器。
部分弥漫香气的花园。,部分盛开的花朵。
全部老旧的房屋。,全部破旧的房屋。
部分灿烂的夜景。,部分美丽的风景。
全部郁郁葱葱的森林。,全部种植的树
全部洒满阳光的空地。,全部拍摄的照片
全部保存完好的古籍。,部分散落的书籍。
部分破碎的玻璃制品。,部分破碎的瓷器。
部分隐藏的线索。,部分生动的讲述。
部分老旧的书籍。,部分散落的书籍。
部分磨损的家具。,部分破碎的瓷器。
部分残留的古籍文献。,全部历史的遗迹。
全部损坏的机器设备。,全部完好的机器。
部分残破的工具。,全部完好无损的工具集合。
全部优良的种子。,全部金黄的麦田。
部分古老的建筑。,部分古老的城墙。
全部崭新的玩具。,全部全新的交通工具。
五十个商店老板。,十几个销售代表。
四十个办公室白领。,四十个软件工程师。
二十个工厂工人。,八十个建筑工人。
十五个餐厅服务员。,八位餐厅服务员。
八个公司高管。,八位财务分析师。
四个超市收银员。,四辆汽车销售员。
两个房间的灯,两百间公寓房东
十五个公司高管。,五十个行政助理。
十二个医院护士。,十位医院护士。
十个小学校长。,十名学校老师。
八个超市收银员。,八位财务分析师。
四个图书馆管理员。,四名学校教师。
四个手机型号。,四项市场分析。
三个手表品牌。,三款手机推荐。
一百个政府官员。,一百个足球运动员。
五十个银行职员。,七十个财务规划师。
三十个学校老师。,十名学校老师。
十五个超市收银员。,七十个财务规划师。
十个餐厅服务员。,八位餐厅服务员。
八个乐队成员。,八种乐器演奏。
六个公司高管。,六位营销经理。
五个超市收银员。,五个汽车修理工。
十二个网站管理员。,二十二个数据分析师。
九个手机用户。,九个电脑程序员。
六个钢琴演奏家。,八个小提琴手。
五十个餐厅顾客。,八位餐厅服务员。
四十个工厂工人。,四十个软件工程师。
三十个公司高管。,十几个工程师。
二十个小区居民。,二十个家庭主妇。
十六个单位员工。,十六个营销策划师。
八个部门经理。,八位财务分析师。
两个班级代表。,两个产品经理。
十二个工厂工人。,十一名公司员工。
六个餐厅服务员。,八位餐厅服务员。
九个公司高管。,九个电脑程序员。
两个商店老板。,两个客服经理。
五十个商店顾客。,十几个销售代表。
四十个医院病人。,四十间医院护士。
二十个办公室职员。,二十二个数据分析师。
一百个体育场观众。,一百个足球运动员。
五十个公司员工。,十一名公司员工。
三十个社区志愿者。,一万名学生志愿者。
二十个学校老师。,十名学校老师。
十五个图书馆管理员。,五十个行政助理。
十二个餐厅服务员。,八位餐厅服务员。
十个办公室职员。,十位工程师同事。
八个工厂工人。,八十个建筑工人。
几个行业专家。,十位医生专家。
很多大学教授。,八位大学教授。
一些公司高管。,一位公司CEO。
两个国家领导人。,两个产品经理。
五个公司经理。,六位营销经理。
七十个汽车修理工。,五个汽车修理工。
六十个超市收银员。,七十个财务规划师。
五十个餐厅服务员。,八位餐厅服务员。
四十个银行职员。,四十个软件工程师。
三十个书店老板。,一万本书图书馆。
二十个大学教授。,十位科学家研究员。
十八个工厂工人。,八十个建筑工人。
五个家庭厨师。,四家餐厅厨师。
五个公司高管。,六位营销经理。
两个项目经理。,两个产品经理。
五个实验室研究员。,八位科学家研究员。
九十个银行职员。,九十个电脑程序员。
八十个学校教师。,八十个建筑工人。
七十个酒店服务员。,七十个财务规划师。
六十个图书馆管理员。,七十个财务规划师。
五十个超市收银员。,七十个财务规划师。
三十个办公室职员。,十几个工程师。
十几个学生志愿者。,一万名学生志愿者。
八份菜单菜品。,八位餐厅厨师。
五种药物副作用。,五种美容产品。
五种食品调料。,五种健康饮食。
六份合同附件。,六件运动器材。
三本字典参考书。,三本小说阅读。
八份报告数据。,八位财务分析师。
八台电脑显示器。,五个电脑屏幕。
两个健身房会员。,两个财务分析师。
三个办公室文员。,三个会计人员。
十几个酒吧常客。,五瓶红酒顾客。
两个咖啡馆顾客。,五杯咖啡同事。
三个国家领导人。,三位科学家研究员。
十多个网站访问者。,十几个旅游景点。
两个手机用户。,两个产品经理。
两个图书馆管理员。,两个财务分析师。
两个健身房教练。,三十个健身教练。
十几个银行职员。,十几个工程师。
九个超市收银员。,九个电脑程序员。
一个社区志愿者。,一万名学生志愿者。
十几个大学教授。,十几个工程师。
两个公司高管。,两个产品经理。
九个图书馆采购员。,九十个电脑程序员。
八个公园维护工。,八十个建筑工人。
两个办公室实习生。,两个产品经理。
九个图书馆志愿者。,十个小学生志愿者。
八个游泳池救生员。,八位医生护士。
两个医院清洁工。,两个客服经理。
十几个银行经理。,十几个工程师。
九个实验室助手。,十位设计师助手。
八个艺术馆导游。,八位科学家研究员。
两个办公室经理。,两个产品经理。
十几个超市理货员。,十几个客服代表。
九个图书馆技术员。,九个电脑程序员。
八个博物馆保安。,八十个建筑工人。
两个学校保安。,两个客服经理。
十几个银行出纳。,十几个客服代表。
九个工厂工人。,九个电脑程序员。
八个公园清洁工。,八十个建筑工人。
两个办公室助理。,两个产品经理。
十几个超市促销员。,十几个销售代表。
九个图书馆管理员。,九个电脑程序员。
八个博物馆讲解员。,七位博物馆讲解员
两个办公室文员。,两个产品经理。
十几个银行柜员。,十几个客服代表。
九个工厂工程师。,十几个工程师。
八个公园保安。,八十个建筑工人。
十几个超市收银员。,十几个客服代表。
两个学校图书馆。,一万本书图书馆。
十六个生日蜡烛。,十六个营销策划师。
五个实验室助手。,十位护士助手。
百万个手机用户。,一千个手机用户。
一千个网站访问者。,一千个手机用户。
一百个市场摊贩。,十几个销售代表。
九十个图书馆读者。,十万册图书馆藏书。
八十个体育场观众。,八十个智能设备。
七十个电影观众。,七十个科技发明。
六十个餐厅食客。,八位餐厅服务员。
五十个医院病人。,四十间医院护士。
四十个商店顾客。,十几个销售代表。
二十个公司员工。,十一名公司员工。
十五个班级学生。,十五个流行歌手。
两个书店顾客。,两个客服经理。
十几个工厂工人。,十几个工程师。
三十个电视节目。,十几个旅游景点。
二十个电影奖项。,十二个时尚品牌。
一百个销售代表。,十几个销售代表。
四十五个供应链管理师。,四十个软件工程师。
三十五个项目协调员。,七十个财务规划师。
三十个市场调研员。,十几个销售代表。
二十五位产品经理。,二十二个数据分析师。
十四位设计师同事。,十位工程师同事。
十二个程序员小组。,九十个电脑程序员。
九个工程师团队。,九个电脑程序员。
四名医生助手。,四名医院护士。
三百五十个医院病患。,四十间医院护士。
三百四十个消防局接警。,十八名消防队队员
三百三十个警察局访客。,三十位机场安检员
三百二十个机场乘客。,十万个旅游景点。
三百一十个超市顾客。,十万个旅游景点。
三百个电影院观众。,三张电影票观众。
二百九十个超市理货员。,九十个电脑程序员。
二百八十个学校保安。,四十个质量控制员。
二百七十个餐厅服务员。,八位餐厅服务员。
二百六十个图书馆管理员。,二十二个数据分析师。
二百五十个医院护士。,四十间医院护士。
二百四十个消防局消防员。,二十名消防队队员
二百三十个警察局警员。,二十二个数据分析师。
二百一十个超市员工。,二十二个数据分析师。
二百个电影院工作人员。,十二个DVD播放器。
一百九十个健身房教练。,三十个健身教练。
一百八十个餐厅食客。,八位餐厅服务员。
一百五十个医院病患。,四十间医院护士。
一百四十个消防局接警。,十八名消防队队员
一百三十个警察局访客。,三十个家庭主妇。
一百二十个机场乘客。,二十二个数据分析师。
一百一十个超市顾客。,十万个旅游景点。
一百个电影院观众。,三张电影票观众。
九十个健身房会员。,三十个健身教练。
八十个学校清洁工。,八十个建筑工人。
七十个餐厅服务员。,八位餐厅服务员。
六十个图书馆工作人员。,七十个财务规划师。
五十五个超市理货员。,五十个行政助理。
五十个学校保安。,四十个质量控制员。
四十五个医院护士。,四十间医院护士。
四十个消防局消防员。,十八名消防队队员
三十五个警察局警员。,十五个流行歌手。
二十五名银行柜员。,二十名消防队队员
二十个电影院服务员。,十二位剧院售票员
十七个图书馆管理员。,七十个财务规划师。
十六个健身房教练。,三十个健身教练。
十二个超市收银员。,二十二个数据分析师。
两个医院医生。,两个客服经理。
十二个手表设计师。,十二个时尚品牌。
九个手机制造商。,九个电脑程序员。
一千个西瓜卡车。,七十辆卡车调度员
一百个草莓盆。,十几个水果蔬菜。
九十个樱桃篮。,九十个健康产品。
八十个葡萄串。,十几个水果蔬菜。
七十个杏子盒。,十个袋子糖果
六十个李子桶。,五百箱水果批发商
五十个桃子筐子。,五个篮子水果
四十个香蕉盒子。,十个袋子糖果
三十个橘子袋子。,十个袋子糖果
二十个梨子盘子。,十几个水果蔬菜。
十五个苹果篮子。,五个篮子水果
十二个鸡蛋碗。,十个袋子糖果
五个工厂工程师。,五个汽车修理工。
五个医院医生。,六位医院医生。
三个银行行长。,三个市场分析师。
五个警察局警官。,五位网球粉丝。
两个政府官员。,两个产品经理。
三个学校校长。,三个销售顾问。
五个医院护士长。,四名医院护士。
五个学校老师。,六名学校老师。
三个工厂经理。,三个运营分析师。
十一个小企业主。,十一名公司员工。
五个政府官员。,五十个行政助理。
两个警察局警官。,两个财务分析师。
两个医院院长。,两个产品经理。
两个学校校长。,两个产品经理。
三个医院医生。,三位科学家研究员。
三个政府官员。,三个市场分析师。
十一个银行职员。,十一名公司员工。
八个餐厅服务员。,八位餐厅服务员。
四个大学教授。,八位大学教授。
三个医院护士。,四名医院护士。
十几个市场分析师。,十几个工程师。
两个城市规划师。,两个财务分析师。
十几个商店老板。,十几个销售代表。
九个公园游客。,九十个健康产品。
一大批超市顾客。,十几个客服代表。
十几个学校老师。,十名学校老师。
八亿个超市顾客。,十亿兆个数据点。
五亿个图书馆学习者。,一万本书图书馆。
六千万个图书馆学习者。,一万本书图书馆。
五千万个超市顾客。,十万个旅游景点。
三百万个图书馆学习者。,一万本书图书馆。
七十万个超市顾客。,七十个财务规划师。
四十万个图书馆读者。,一万本书图书馆。
二十万个公园游客。,十万个旅游景点。
十万个医院病人。,四十间医院护士。
一万本图书馆藏书。,一万本书图书馆。
一千个公园游客。,十万个旅游景点。
一百个超市货架。,十亿个分子。
九十个医院病床。,九十个健康产品。
八十个图书馆书架。,十万册图书馆藏书。
七十个公园垃圾桶。,八百箱药品配送员
六十个教室黑板。,十几个专业术语。
四十个电影院座位。,三张电影票观众。
三十个医院病房。,四十间医院护士。
二十个公园长椅。,十张桌子椅子
十二个教室窗户。,十位会计学生。
十本图书馆书籍。,十万册图书馆藏书。
研究了五年市场,研究了五年。
收集了五年邮票,收集了百枚邮票
写了五年日记,写作了五年文章。
整理了一天文件,整理了文件。
整理了七天文件,整理了五份文件
准备了七天晚餐,吃了五顿大餐。
分析了五年数据,分析了五组数据
研究了五年数学,研究了五年。
收集了十年邮票,收集了百枚邮票
研究了五年数据,研究了五年。
设计了五天方案,设计了五套方案
分析了三天数据,分析了三小时数据
剪了十分钟视频,拍摄了五十段视频
整理了四天文件,整理了五遍文件
写了三天报告,写了五页报告
分析了十年的数据,分析了五组数据
写了五年的日记,写作了五年文章。
写了四天报告,写了五页报告
写了五天报告,写了五页报告
复习了三天功课,复习了功课。
整理了三年文件,整理了三箱文件
写了十年日记,读了十年小说。
研究了五天资料,研究了五年。
研究了三年市场,分析了三天市场
写了两天报告,写了六页报告
整理了三天文件,整理了三箱文件
准备了三天会议,审核了三天计划
写了十天报告,写了十五页报告
修补了三天衣服,买了三件衣服
翻译了两年文献,翻译了五篇论文
分析了三年数据,分析了三小时数据
写了三年日记,研究了三年科学
分析了十分钟数据,分析了三小时数据
晒干毛巾,铺上白色床单
洗白衣服,修补破损衣服
剪短头发,做完美发型
刷白牙齿,说话清晰语言
分析准确的数据,分析彻底数据
刷白墙壁,铺上白色床单
洗白衬衫,修补破损衣服
组织好活动,实现和谐共处
维护好设备,维护稳定系统
修剪好草坪,修补破损衣服
整理好文件,整理杂乱文件
设计好网站,画出精致图案
选好衣服,修补破损衣服
演示好产品,设计新颖产品
解释好概念,理解透彻概念
翻译好文件,撰写清晰文章
撰写好报告,完成详细报告
更新好软件,运行流畅软件
维护好车辆,维护良好秩序
挑选好水果,保持健康身体
规划好路线,做出精确计算
设计好方案,做出精确计算
修理好电脑,修理完美手机
擦拭干净玻璃,涂抹均匀防晒霜
清洗干净的衣服,修补破损衣服
想清楚的问题,解决彻底问题
写清楚的字,撰写清晰文章
绘制详细的图纸,画出精致图案
计算精确的预算,做出精确计算
缝制精美的窗帘,制作精良家具
修剪精致的盆栽,制作精良家具
设计合理的方案,做出精确计算
擦拭干净的玻璃,修补破损衣服
修剪漂亮的指甲,涂上红色指甲油
计算精确的答案,做出精确计算
绘制清晰的图表,画出精致图案
调整准确的时钟,做出精确计算
吃干净食物,整理干净房间
清洗干净汽车,修理完美汽车
剪短指甲,涂上红色指甲油
修剪整齐的指甲,涂上红色指甲油
保养光滑的皮肤,涂抹均匀防晒霜
整理有序的文件,整理杂乱文件
设计精美的海报,展示优秀作品
保养良好的汽车,修理完美汽车
布置温馨的客厅,创造舒适氛围
装饰美丽的圣诞树,挂上绿色窗帘
打扫干净的厨房,整理干净房间
修整整齐的草坪,维持健康身体
调整正确的时钟,遵循正确方法
创新设计新方案,设计创新产品方案
扩大推广新服务,扩大推广先进经验。
设计开发新产品,开发创新产品
组织策划大型活动,参与策划年度大会
观察记录实验现象,实践运用所学知识。
评估改善工作流程,提出改善工作流程
实施改善环境措施,实施改善管理方案
实施改善工作流程,实施改善管理方案
评估优化项目效果,提升优化客户体验
支持培训新人才,培养创新人才
推广应用新理念,推广应用新技能
完善改进新系统,改进完善产品性能。
促进交流新经验,促进交流新思路。
组织策划文化活动,组织协调社区活动
制定执行工作计划,实施执行项目计划
创造发展新产品,创新发展新产品
发展培训新人才,培养创新人才
推动引入创新理念,推动创新新产品
维护更新系统安全,维护保养机械设备
推广应用绿色能源,推动可再生能源利用
分析评估市场需求,进行开展市场调研
研究优化生产工艺,开发优化新产品
提供支持客户服务,提升优化客户体验
促进发展经济,促进发展区域经济
研究优化生产流程,改进完善产品设计流程。
实施维护安全措施,实施执行项目计划
开发应用新软件,开发创新产品
实施改善教育政策,实施改善管理方案
加强管理团队建设,巩固加强团队建设。
分析解决复杂问题,分析解决数据问题
实施改进工作流程,实施改善管理方案
评估优化市场策略,开发优化新产品
分析解决问题方案,分析解决问题方法
研究改善工作流程,提出改善工作流程
推广应用环保技术,推广引入环保理念
完善改进管理制度,建立健全管理制度
评估优化产品质量,提升改善产品质量
研究改善教育方法,实施改善管理方案
制定实施安全措施,实施执行项目计划
实施优化生产流程,提高优化工作流程
制定完善管理制度,建立健全管理制度
研究探索创新方案,开发创新产品
提供支持技术服务,加快提升服务质量。
维护更新网站内容,维护保养机械设备
制定实施预算计划,实施执行项目计划
设计优化用户界面,提升优化客户体验
评估调整价格策略,开发优化新产品
实施改善管理措施,实施改善管理方案
记录整理数据资料,采集整理数据资料
推广宣传环保理念,推广引入环保理念
评估优化生产流程,改进完善产品设计流程。
研发创新医疗技术,开发创新产品
制定实施安全标准,建立实施质量标准
学习提高语言能力,学习提升个人能力
分析解决实际问题,分析解决问题方法
观察研究动物行为,调查研究消费者需求
讨论制定政策方案,讨论决定未来的计划。
评估改进服务质量,加快提升服务质量。
维护更新软件系统,维护保养机械设备
参加组织志愿活动,开展实施志愿服务
制定实施健康计划,制定完善培训计划
解决处理交通问题,分析解决数据问题
制定执行培训计划,制定完善培训计划
创新设计商业模式,设计创新产品方案
参与协作社区建设,组织协调社区活动
组织策划志愿活动,开展实施志愿服务
监测改善空气质量,提升改善产品质量
组织开展志愿服务,开展实施志愿服务
设计实施健康计划,计划实施营销策略
监测改善水资源管理,监测跟踪销售数据
组织策划社区活动,组织协调社区活动
实施推广环保措施,实施落实环保政策
研究改进生产流程,改进完善产品设计流程。
参与协作国际项目,参与协调国际合作
研究开发新材料,开发创新产品
监控评估项目进度,监测跟踪销售数据
记录整理实验数据,整理归纳历史资料
监测评估项目进度,监测跟踪销售数据
维护更新设备设施,维护保养机械设备
制定实施营销策略,计划实施营销策略
优化调整生产流程,改进完善产品设计流程。
维护更新网络系统,维护保养机械设备
评估优化产品性能,改进完善产品性能。
监督管理财务预算,实施执行项目计划
设计开发教育平台,提供丰富学习资源
推动引入绿色技术,推动创新新产品
研发推出新产品,创新发展新产品
评估优化运营效率,提高优化工作流程
实施改进培训计划,制定完善培训计划
分析预测市场趋势,观察分析市场趋势
实施增强安全措施,实施改善管理方案
设计开发移动应用,创新推出移动应用
规划改善交通设施,规划优化交通系统
研究开发新药物,开发创新产品
研究探索新市场,尝试探索新市场机会。
推广应用智能设备,推广应用新技能
编写发布研究报告,进行撰写研究报告
设计推出新产品,尝试创新产品设计。
研发测试新材料,开发创新产品
推广应用新方法,推广应用新技能
维护更新系统软件,维护保养机械设备
制定执行销售计划,实施执行项目计划
研究探索创新思路,探索创新商业模式
实施推动环保政策,实施落实环保政策
开发推出新应用,创新推出移动应用
制定实施预算方案,实施执行项目计划
制定执行发展计划,实施执行项目计划
监测评估项目效果,监测跟踪销售数据
维护修复设备设施,维护保养机械设备
收集分析数据资料,采集整理数据资料
记录整理工作数据,采集整理数据资料
讨论解决技术问题,分析解决数据问题
制定执行安全标准,建立实施质量标准
提升优化服务质量,提升优化客户体验
研发推出新服务,开发创新产品
设计优化广告方案,设计创新产品方案
观察记录自然现象,研究探索宇宙奥秘
实施优化管理流程,实施改善管理方案
评估改善项目效果,实施改善管理方案
介绍普及健康知识,推广宣传健康知识
制定执行战略计划,实施执行项目计划
提高改善服务质量,提升改善产品质量
实施推进环保措施,实施落实环保政策
优化简化工作流程,提高优化工作流程
监测跟踪健康指标,监测跟踪销售数据
学习应用新方法,拓展运用新工具。
实施执行安全措施,实施执行项目计划
参与组织社区服务,组织协调社区活动
设计规划城市发展,规划优化交通系统
观察记录动物行为,监测跟踪销售数据
评估更新安全标准,提高完成产品质量水平。
参与组织志愿活动,开展实施志愿服务
研究调查环境影响,开展实施市场调查
开发优化生产流程,开发优化新产品
评估调整预算计划,实施执行项目计划
推广引入环保技术,推广引入环保理念
制定执行政策法规,制定完善政策法规
解决处理技术问题,分析解决数据问题
采集分析数据结果,采集整理数据资料
观察研究行为模式,进行开展市场调研
分析解决市场问题,分析解决数据问题
研发推出新软件,开发优化新算法
研发探索新材料,创新发展新产品
发布传播新政策,发布更新政策法规
参与协作科学研究,参与协调国际合作
制定执行安全措施,实施执行项目计划
评估优化工作绩效,提升优化客户体验
组织策划年度会议,参与策划年度大会
维护管理信息平台,建立维护社区关系
发布更新软件版本,开发优化新算法
计划建设基础设施,实施执行项目计划
生产开发新材料,创新发展新产品
组织策划展览活动,参与策划年度大会
设计实施营销策略,计划实施营销策略
制定落实销售目标,实施执行项目计划
牛奶面包,水果味道
